name,importance
non_hdl,0.30814829587913883
tg_log1p,0.30113709239817593
uric_acid_log1p,0.14345498461324416
ldl_w,0.05137309339385776
glucose_w,0.016067888017644236
blood_stasis_score,0.014495343367858666
bmi_w,0.013536163806082328
qi_stagnation_score,0.013067837360167539
yin_deficiency_score,0.01249372528498053
yang_deficiency_score,0.01244515778662264
qi_deficiency_score,0.01229325500400809
iadl_total,0.01185244357746098
balanced_score,0.011666005329752706
damp_heat_score,0.010891857021444662
adl_total,0.010520724722731878
special_diathesis_score,0.010411321854667779
phlegm_score,0.009676135865262964
constitution_top_score,0.009228800931662446
constitution_margin,0.008342238558857492
activity_limited_count,0.006102367394278902
age_group,0.005230020316921078
sex,0.003255923423751206
drink,0.0022086320077048856
smoke,0.0021006920837223415
