name,importance
uric_acid_log1p,0.31444621844167103
glucose_w,0.05713124482475115
bmi_w,0.049131771490544277
blood_stasis_score,0.04784492568812569
yin_deficiency_score,0.04645222281301123
qi_stagnation_score,0.04415632863659338
qi_deficiency_score,0.043288066819578086
damp_heat_score,0.041167022755702824
special_diathesis_score,0.04073121311467202
iadl_total,0.04025616626243292
yang_deficiency_score,0.03790190896070117
balanced_score,0.03611876631518481
phlegm_score,0.03409847298614413
constitution_margin,0.034013027325726114
adl_total,0.03396136088285522
constitution_top_score,0.028731051474224355
activity_limited_count,0.01884451262791017
age_group,0.018420446304661876
sex,0.01499251649338477
smoke,0.010523176646333456
drink,0.007789579135791472
