feature,lasso_coef,logit_coef,xgb_reg_importance,xgb_clf_importance,score
tg,-0.0,3.550186970370429,0.055085663,0.40824464,4.013517272757905
tc,-0.0,2.4552398663599266,0.055264685,0.28519782,2.7957023759026303
uric_acid,-0.0,0.6110268643501673,0.055903118,0.19082019,0.8577501697841559
ldl,0.0,0.5622006429218583,0.051635172,0.08009985,0.6939356660329633
hdl,0.0,-0.6178789795994173,0.051441155,0.013171809,0.6824919437676082
adl_eat,-0.4434204012583957,0.09168335239272835,0.039213575,0.0021747607,0.5764920897545336
iadl_cook,-0.0,-0.13536696306990914,0.045622136,0.0009978291,0.18198692864833854
adl_dress,0.0,0.1306334159149974,0.04311071,0.0017180833,0.17546220883253955
glucose,-0.0,-0.10680818862811513,0.056655113,0.0015472793,0.16501058058411666
bmi,-0.0,-0.03866261204525463,0.06497996,0.0016570484,0.10529962340656303
iadl_medication,-0.0,0.04935733147510466,0.05329055,0.0019502176,0.10459809878454682
iadl_total,0.0,-0.03799124875552079,0.052251417,0.0031465176,0.09338918350151798
adl_total,-0.0,-0.02472312079067067,0.06097254,0.0018227865,0.087518448883432
adl_toilet,-0.0,-0.04825400486129824,0.034053937,0.0,0.08230794146198336
activity_total,-0.0,0.021635498357359485,0.056095935,0.0016307234,0.07936215712165476
adl_walk,-0.0,-0.03963264882971688,0.034830216,0.0,0.07446286514808578
adl_bath,0.0,0.027133494251499125,0.043682683,0.0,0.07081617751074785
iadl_finance,0.0,0.01307550012263319,0.05348766,0.0,0.06656315862330457
iadl_shop,0.0,-0.014077066459379303,0.045706294,0.0038469546,0.06363031549068462
iadl_transport,0.0,0.001912197472219402,0.046717446,0.0019734816,0.05060312538563185
