constitution,mean_abs_shap
blood_stasis,0.35473633
qi_stagnation,0.3198925
damp_heat,0.3009775
yang_deficiency,0.25389248
qi_deficiency,0.24357763
phlegm_dampness,0.23789158
yin_deficiency,0.21717902
special_diathesis,0.20108609
balanced,0.18566611
